ID,Indicator Name,Alternate (Display) Name,Indicator Definition,Measure Type,Numerator Definition,Denominator Definition,Additional Indicator Details,Nutrition Domain,Sub-domain,Indicator Code,Helix Indicator Code,Core Indicator,SOWC Indicator,SDG Indicator,SDG Indicator Code,Strategic Plan Indicator,Strategic Plan Indicator Code,Emergency Indicator,Data Quality Indicator,Collection Mechanism,Year Assignment Method,Base Population,Aggregation Method,WPP Population Used,Aggregation Notes,Decision Engine Status,Notes,Compliance Asset Id,WPP_CND_REGEX,Custodian(s)
264,"The number of children who consumed flesh foods (meat, poultry, fish and organ meats) out of all the children who consumed 6 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_6_H_FF,NT_CF_FG_6_H_FF,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
265,"The number of children who consumed flesh foods (meat, poultry, fish and organ meats) out of all the children who consumed 7 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_7_H_FF,NT_CF_FG_7_H_FF,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
266,"The number of children who consumed flesh foods (meat, poultry, fish and organ meats) out of all the children who consumed 8 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_8_H_FF,NT_CF_FG_8_H_FF,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
267,"The number of children who consumed dairy (milk, infant formula, yogurt, cheese)  out of all the children who consumed 1 food group",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_H_DAIRY,NT_CF_FG_1_H_DAIRY,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
268,"The number of children who consumed dairy (milk, infant formula, yogurt, cheese)  out of all the children who consumed 2 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_2_H_DAIRY,NT_CF_FG_2_H_DAIRY,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
269,"The number of children who consumed dairy (milk, infant formula, yogurt, cheese)  out of all the children who consumed 3 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_H_DAIRY,NT_CF_FG_3_H_DAIRY,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
270,"The number of children who consumed dairy (milk, infant formula, yogurt, cheese)  out of all the children who consumed 4 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_4_H_DAIRY,NT_CF_FG_4_H_DAIRY,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
271,"The number of children who consumed dairy (milk, infant formula, yogurt, cheese)  out of all the children who consumed 5 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_5_H_DAIRY,NT_CF_FG_5_H_DAIRY,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
272,"The number of children who consumed dairy (milk, infant formula, yogurt, cheese)  out of all the children who consumed 6 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_6_H_DAIRY,NT_CF_FG_6_H_DAIRY,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
273,"The number of children who consumed dairy (milk, infant formula, yogurt, cheese)  out of all the children who consumed 7 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_7_H_DAIRY,NT_CF_FG_7_H_DAIRY,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
274,"The number of children who consumed dairy (milk, infant formula, yogurt, cheese)  out of all the children who consumed 8 food groups",,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_8_H_DAIRY,NT_CF_FG_8_H_DAIRY,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
275,The number of children who consumed eggs out of all the children who consumed 1 food group,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_H_EGGS,NT_CF_FG_1_H_EGGS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
276,The number of children who consumed eggs out of all the children who consumed 2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_2_H_EGGS,NT_CF_FG_2_H_EGGS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
277,The number of children who consumed eggs out of all the children who consumed 3 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_H_EGGS,NT_CF_FG_3_H_EGGS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
278,The number of children who consumed eggs out of all the children who consumed 4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_4_H_EGGS,NT_CF_FG_4_H_EGGS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
279,The number of children who consumed eggs out of all the children who consumed 5 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_5_H_EGGS,NT_CF_FG_5_H_EGGS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
280,The number of children who consumed eggs out of all the children who consumed 6 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_6_H_EGGS,NT_CF_FG_6_H_EGGS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
281,The number of children who consumed eggs out of all the children who consumed 7 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_7_H_EGGS,NT_CF_FG_7_H_EGGS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
282,The number of children who consumed eggs out of all the children who consumed 8 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_8_H_EGGS,NT_CF_FG_8_H_EGGS,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
283,The number of children who consumed breastmilk out of all the children who consumed 1 food group,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_1_H_BREASTMILK,NT_CF_FG_1_H_BREASTMILK,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
284,The number of children who consumed breastmilk out of all the children who consumed 2 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_2_H_BREASTMILK,NT_CF_FG_2_H_BREASTMILK,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
285,The number of children who consumed breastmilk out of all the children who consumed 3 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_3_H_BREASTMILK,NT_CF_FG_3_H_BREASTMILK,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
286,The number of children who consumed breastmilk out of all the children who consumed 4 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_4_H_BREASTMILK,NT_CF_FG_4_H_BREASTMILK,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
287,The number of children who consumed breastmilk out of all the children who consumed 5 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_5_H_BREASTMILK,NT_CF_FG_5_H_BREASTMILK,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
288,The number of children who consumed breastmilk out of all the children who consumed 6 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_6_H_BREASTMILK,NT_CF_FG_6_H_BREASTMILK,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
289,The number of children who consumed breastmilk out of all the children who consumed 7 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_7_H_BREASTMILK,NT_CF_FG_7_H_BREASTMILK,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
290,The number of children who consumed breastmilk out of all the children who consumed 8 food groups,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_FG_8_H_BREASTMILK,NT_CF_FG_8_H_BREASTMILK,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
291,The number of children who consumed 1 food group out of all the children who consumed grains,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_GRAINS_H_FG_1,NT_CF_GRAINS_H_FG_1,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
292,The number of children who consumed 2 food group out of all the children who consumed grains,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_GRAINS_H_FG_2,NT_CF_GRAINS_H_FG_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
293,The number of children who consumed 3 food group out of all the children who consumed grains,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_GRAINS_H_FG_3,NT_CF_GRAINS_H_FG_3,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
294,The number of children who consumed 4 food group out of all the children who consumed grains,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_GRAINS_H_FG_4,NT_CF_GRAINS_H_FG_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
295,The number of children who consumed 5 food group out of all the children who consumed grains,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_GRAINS_H_FG_5,NT_CF_GRAINS_H_FG_5,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
296,The number of children who consumed 6 food group out of all the children who consumed grains,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_GRAINS_H_FG_6,NT_CF_GRAINS_H_FG_6,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
297,The number of children who consumed 7 food group out of all the children who consumed grains,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_GRAINS_H_FG_7,NT_CF_GRAINS_H_FG_7,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
298,The number of children who consumed 8 food group out of all the children who consumed grains,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_GRAINS_H_FG_8,NT_CF_GRAINS_H_FG_8,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
299,The number of children who consumed 1 food group out of all the children who consumed legumes,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_LEGUMES_H_FG_1,NT_CF_LEGUMES_H_FG_1,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
300,The number of children who consumed 2 food group out of all the children who consumed legumes,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_LEGUMES_H_FG_2,NT_CF_LEGUMES_H_FG_2,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
301,The number of children who consumed 3 food group out of all the children who consumed legumes,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_LEGUMES_H_FG_3,NT_CF_LEGUMES_H_FG_3,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
302,The number of children who consumed 4 food group out of all the children who consumed legumes,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_LEGUMES_H_FG_4,NT_CF_LEGUMES_H_FG_4,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
303,The number of children who consumed 5 food group out of all the children who consumed legumes,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_LEGUMES_H_FG_5,NT_CF_LEGUMES_H_FG_5,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
304,The number of children who consumed 6 food group out of all the children who consumed legumes,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_LEGUMES_H_FG_6,NT_CF_LEGUMES_H_FG_6,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
305,The number of children who consumed 7 food group out of all the children who consumed legumes,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_LEGUMES_H_FG_7,NT_CF_LEGUMES_H_FG_7,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
306,The number of children who consumed 8 food group out of all the children who consumed legumes,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_LEGUMES_H_FG_8,NT_CF_LEGUMES_H_FG_8,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
307,The number of children who consumed 1 food group out of all the children who consumed vitamin-A rich fruits and vegetables,,,Proportion,,,,Infant and Young Child Feeding,Complementary Feeding,CF_VITA_H_FG_1,NT_CF_VITA_H_FG_1,False,False,False,,False,,False,False,,Middle of Fieldwork,6 to 23 months,Not Classified,6 to 23 months,,Derived,,,pop_month_6_23,
